year,patent_count,previous_year_count,yoy_growth
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
2018,0,0.0,
